"Name","Team","SwStr%","Pitches","playerid"
"Joe Biagini","Blue Jays","11.5 %","1117","13194"
"Jim Johnson","Braves","7.7 %","1054","3656"
"Pat Neshek","Astros","10.4 %","712","4682"
"Masahiro Tanaka","Yankees","10.9 %","2935","15764"
"Kyle Ryan","Tigers","9.0 %","837","11753"
"Dellin Betances","Yankees","15.4 %","1250","6216"
"Hunter Strickland","Giants","11.3 %","1019","7836"
"Jake Arrieta","Cubs","10.5 %","3124","4153"
"A.J. Achter","Angels","9.9 %","568","11387"
"Jeff Manship","Indians","11.4 %","744","6865"
"Mychal Givens","Orioles","14.9 %","1306","10430"
"Nick Wittgren","Marlins","6.4 %","842","15594"
"Corey Kluber","Indians","12.6 %","3189","2429"
"Jumbo Diaz","Reds","10.4 %","767","3397"
"Brandon Kintzler","Twins","7.0 %","828","9939"
"Rick Porcello","Red Sox","8.2 %","3410","2717"
"Jhan Marinez","- - -","8.8 %","953","5830"
"Tommy Hunter","- - -","9.3 %","483","1157"
"Ian Krol","Braves","10.0 %","890","10066"
"J.A. Happ","Blue Jays","9.6 %","3033","7410"
"Jose Quintana","White Sox","7.6 %","3282","11423"
"Luis Avilan","Dodgers","16.8 %","327","2882"
"Deolis Guerra","Angels","9.7 %","901","8410"
"Julio Teheran","Braves","10.3 %","2971","6797"
"Steven Okert","Giants","12.1 %","232","13580"
"Lance McCullers","Astros","13.0 %","1342","14120"
"Sean Doolittle","Athletics","15.6 %","595","1581"
"Bryan Mitchell","Yankees","6.4 %","388","11479"
"Francisco Rodriguez","Tigers","12.1 %","928","1642"
"Bryan Shaw","Indians","11.9 %","1158","8110"
"Robbie Ross Jr.","Red Sox","10.7 %","966","6819"
"Dalier Hinojosa","Phillies","10.7 %","177","15671"
"Luke Gregerson","Astros","20.1 %","852","4090"
"Anthony DeSclafani","Reds","9.5 %","1968","13050"
"Tony Zych","Mariners","9.5 %","252","12876"
"Scott Alexander","Royals","12.4 %","324","10591"
"Cole Hamels","Rangers","12.2 %","3253","4972"
"Carlos Carrasco","Indians","12.0 %","2247","6632"
"Drew Pomeranz","- - -","11.1 %","2841","11426"
"Brent Suter","Brewers","8.4 %","347","13942"
"Clayton Richard","- - -","8.4 %","1086","3551"
