"Name","Team","SwStr%","Pitches","playerid"
"Carlos Villanueva","Padres","11.0 %","1193","4138"
"Kevin Jepsen","- - -","8.3 %","878","6475"
"Jarred Cosart","- - -","6.3 %","1095","10304"
"Neil Ramirez","- - -","11.2 %","465","7677"
"Jesse Hahn","Athletics","6.0 %","712","13287"
"Adam Morgan","Phillies","10.5 %","1947","12580"
"Williams Perez","Braves","5.6 %","859","11592"
"Cesar Ramos","Rangers","7.6 %","785","3357"
"Robert Stephenson","Reds","9.4 %","721","13594"
"Keone Kela","Rangers","12.0 %","632","14696"
"Ross Detwiler","- - -","6.2 %","834","2859"
"Chris Bassitt","Athletics","8.6 %","503","12304"
"Daniel Wright","- - -","7.2 %","666","15179"
"Jose Urena","Marlins","8.6 %","1437","11589"
"Miguel Castro","Rockies","9.6 %","240","15684"
"Shelby Miller","Diamondbacks","7.0 %","1740","10197"
"Chris Young","Royals","11.1 %","1678","3196"
"Noe Ramirez","Red Sox","12.4 %","225","12800"
"Colton Murray","Phillies","9.7 %","536","12264"
"Pat Dean","Twins","6.1 %","1158","11350"
"A.J. Morris","Reds","9.9 %","192","9919"
"Matt Albers","White Sox","7.0 %","891","4300"
"Dominic Leone","Diamondbacks","11.3 %","477","13763"
"Jose De Leon","Dodgers","10.6 %","302","15463"
"Gabriel Ynoa","Mets","9.9 %","323","12938"
"Zack Godley","Diamondbacks","11.8 %","1150","14862"
"Chris Beck","White Sox","11.0 %","465","13418"
"John Lamb","Reds","8.2 %","1264","8493"
"Tyler Duffey","Twins","8.5 %","2278","13758"
"Huston Street","Angels","8.7 %","401","8258"
"Wilfredo Boscan","Pirates","4.9 %","263","7655"
"Luis Garcia","Phillies","11.3 %","292","6984"
"Daniel Mengden","Athletics","9.1 %","1309","16980"
"Rob Whalen","Braves","9.8 %","451","14165"
"Jacob Turner","White Sox","7.9 %","456","10185"
"Homer Bailey","Reds","9.6 %","458","8362"
"Cody Anderson","Indians","12.2 %","996","12799"
"Sean O'Sullivan","Red Sox","5.9 %","358","9137"
"Lucas Giolito","Nationals","6.3 %","398","15474"
"Andrew Chafin","Diamondbacks","14.5 %","351","12988"
"Zac Curtis","Diamondbacks","9.6 %","271","16684"
"Tom Wilhelmsen","- - -","8.8 %","808","9975"
"Mike Bolsinger","Dodgers","9.4 %","470","11137"
"Eric O'Flaherty","Braves","8.7 %","473","5746"
"T.J. McFarland","Orioles","5.8 %","381","3237"
"Henry Owens","Red Sox","9.8 %","419","13143"
"Eric Surkamp","Athletics","6.7 %","735","2540"
"Phil Klein","- - -","9.8 %","358","12675"
"Austin Brice","Marlins","11.7 %","206","17237"
"Drew VerHagen","Tigers","5.8 %","346","13424"
"Mark Lowe","Tigers","10.0 %","868","7416"
"Sean Gilmartin","Mets","9.1 %","309","12781"
"Eddie Butler","Rockies","7.6 %","1079","13453"
"Joseph Colon","Indians","7.5 %","186","4920"
"Edwin Escobar","Diamondbacks","8.7 %","449","10337"
"John Danks","White Sox","8.3 %","387","6329"
"Raul Alcantara","Athletics","6.1 %","380","12790"
"Silvino Bracho","Diamondbacks","9.9 %","463","15051"
"Cody Reed","Reds","9.3 %","884","15232"
"Caleb Cotham","Reds","10.0 %","431","10075"
"Aaron Blair","Braves","10.0 %","1214","14934"
"Johnny Barbato","Yankees","14.0 %","235","11440"
"Shawn Tolleson","Rangers","8.7 %","659","10481"
"Taylor Jungmann","Brewers","5.9 %","513","13119"
"Kris Medlen","Royals","9.1 %","475","9417"
"Trevor Williams","Pirates","9.8 %","224","16977"
"Jon Moscot","Reds","4.1 %","416","13849"
"Jose Berrios","Twins","8.2 %","1144","14168"
"Rafael Montero","Mets","8.5 %","388","12760"
"Erik Johnson","- - -","7.0 %","572","12520"
"Christian Bergman","Rockies","10.0 %","448","10925"
"Frank Herrmann","Phillies","11.1 %","280","7960"
"Carson Fulmer","White Sox","10.3 %","213","18311"
"Alex Cobb","Rays","7.5 %","386","6562"
"Chi Chi Gonzalez","Rangers","5.2 %","249","14663"
"Evan Marshall","Diamondbacks","8.8 %","284","12297"
"Dana Eveland","Rays","7.6 %","458","5508"
"Tim Lincecum","Angels","10.6 %","806","5705"
"Matt Carasiti","Rockies","12.1 %","307","13276"
"Brooks Pounders","Royals","10.0 %","249","10387"
"Alfredo Simon","Reds","7.4 %","1120","2155"
"Anthony Ranaudo","- - -","5.3 %","624","11424"
"Austin Adams","Indians","10.7 %","317","7411"
"J.B. Wendelken","Athletics","11.4 %","272","14506"
"Luke Jackson","Rangers","4.1 %","242","11752"
"David Goforth","Brewers","10.0 %","201","12166"
"Pat Light","- - -","9.1 %","364","13427"
"Dillon Overton","Athletics","9.5 %","485","15627"
"Brett Anderson","Dodgers","5.7 %","209","8223"
"J.J. Hoover","Reds","9.9 %","414","9037"
